Sum of Rpt Dist No,AREA NAME,LOCATION
8505,77th Street,5700 S  NORMANDIE                    AV
2426,77th Street,5700 S  SAINT ANDREWS                PL
27899,77th Street,5700 S  ST ANDREWS                   PL
3639,77th Street,5700 S  VAN NESS                     AV
73002,77th Street,5700 S  VERMONT                      AV
16954,77th Street,5700 S  VICTORIA                     AV
73993,77th Street,5700 S  WESTERN                      AV
31538,77th Street,5700 S  WILTON                       PL
25520,77th Street,57TH
2456,77th Street,57TH                         PL
146006,77th Street,57TH                         ST
30800,77th Street,5800    2ND                          AV
17248,77th Street,5800    3RD                          AV
18480,77th Street,5800    4TH                          AV
18480,77th Street,5800    5TH                          AV
19712,77th Street,5800    6TH                          AV
19712,77th Street,5800    7TH                          AV
24640,77th Street,5800    8TH                          AV
3693,77th Street,5800    ALVISO                       AV
23408,77th Street,5800    ARLINGTON                    AV
37170,77th Street,5800    BONSALLO                     AV
7422,77th Street,5800    BUDLONG                      AV
24660,77th Street,5800    CIMARRON                     ST
117040,77th Street,5800    CRENSHAW                     BL
18585,77th Street,5800    DENVER                       AV
3693,77th Street,5800    EDGEMAR                      AV
42126,77th Street,5800    ESTRELLA                     AV
16029,77th Street,5800    HAAS                         AV
3717,77th Street,5800    KANSAS                       AV
17248,77th Street,5800    MADDEN                       AV
1239,77th Street,5800    MENLO                        AV
3705,77th Street,5800    RAYMOND                      AV
1213,77th Street,5800    SAINT ANDREWS                PL
28336,77th Street,5800    WEST                         BL
1235,77th Street,5800 S  DENKER                       AV
148575,77th Street,5800 S  FIGUEROA                     ST
7434,77th Street,5800 S  FLOWER                       ST
2470,77th Street,5800 S  HALLDALE                     AV
40719,77th Street,5800 S  HOOVER                       ST
15955,77th Street,5800 S  NORMANDIE                    AV
1231,77th Street,5800 S  RIMPAU                       BL
19717,77th Street,5800 S  VAN NESS                     AV
789837,77th Street,5800 S  VERMONT                      AV
26786,77th Street,5800 S  WESTERN                      AV
38223,77th Street,5800 S  WILTON                       PL
1215,77th Street,5800 W  SLAUSON                      AV
7318,77th Street,58TH
39524,77th Street,58TH                         PL
83014,77th Street,58TH                         ST
6160,77th Street,5900    10TH                         AV
13552,77th Street,5900    2ND                          AV
9856,77th Street,5900    3RD                          AV
9856,77th Street,5900    4TH                          AV
14784,77th Street,5900    5TH                          AV
32032,77th Street,5900    6TH                          AV
14784,77th Street,5900    7TH                          AV
9856,77th Street,5900    8TH                          AV
16016,77th Street,5900    ARLINGTON                    AV
32214,77th Street,5900    BONSALLO                     AV
1232,77th Street,5900    BRYNHURST                    AV
1231,77th Street,5900    BUCKLER                      AV
17338,77th Street,5900    BUDLONG                      AV
11097,77th Street,5900    CIMARRON                     ST
25872,77th Street,5900    CRENSHAW                     BL
1232,77th Street,5900    DEANE                        AV
56994,77th Street,5900    DENVER                       AV
2462,77th Street,5900    EDGEMAR                      AV
16107,77th Street,5900    ESTRELLA                     AV
9864,77th Street,5900    HAAS                         AV
1235,77th Street,5900    HALLDALE                     AV
18480,77th Street,5900    MADDEN                       AV
2478,77th Street,5900    MENLO                        AV
6175,77th Street,5900    RAYMOND                      AV
45584,77th Street,5900    WEST                         BL
11103,77th Street,5900 S  DENKER                       AV
48321,77th Street,5900 S  FIGUEROA                     ST
19824,77th Street,5900 S  FLOWER                       ST
1233,77th Street,5900 S  GRAMERCY                     PL
3705,77th Street,5900 S  HALLDALE                     AV
4932,77th Street,5900 S  HARVARD                      BL
40887,77th Street,5900 S  HOOVER                       ST
48165,77th Street,5900 S  NORMANDIE                    AV
7398,77th Street,5900 S  SAINT ANDREWS                PL
2516,77th Street,5900 S  SAINTANDREWS                 PL
35757,77th Street,5900 S  ST ANDREWS                   PL
20954,77th Street,5900 S  VAN NESS                     AV
3693,77th Street,5900 S  VERDUN                       AV
123900,77th Street,5900 S  VERMONT                      AV
28359,77th Street,5900 S  WESTERN                      AV
13563,77th Street,5900 S  WILTON                       PL
27140,77th Street,59TH
4956,77th Street,59TH                         DR
61817,77th Street,59TH                         PL
166798,77th Street,59TH                         ST
11074,77th Street,5TH                          AV
1211,77th Street,5TH                          ST
22662,77th Street,600 E  73RD                         ST
70504,77th Street,600 E  74TH                         ST
40288,77th Street,600 E  75TH                         ST
32734,77th Street,600 E  76TH                         PL
44065,77th Street,600 E  76TH                         ST
11331,77th Street,600 E  77TH                         ST
40288,77th Street,600 E  78TH                         ST
37920,77th Street,600 E  79TH                         ST
52029,77th Street,600 E  80TH                         ST
27918,77th Street,600 E  81ST                         ST
46953,77th Street,600 E  82ND                         ST
40608,77th Street,600 E  83RD                         ST
38070,77th Street,600 E  84TH                         PL
32994,77th Street,600 E  84TH                         ST
27918,77th Street,600 E  85TH                         ST
11331,77th Street,600 E  FLORENCE                     AV
21573,77th Street,600 E  MANCHESTER                   AV
24160,77th Street,600 W  45TH                         ST
32616,77th Street,600 W  46TH                         ST
31408,77th Street,600 W  47TH                         ST
22952,77th Street,600 W  48TH                         ST
10872,77th Street,600 W  49TH                         PL
44696,77th Street,600 W  49TH                         ST
12080,77th Street,600 W  50TH                         ST
30200,77th Street,600 W  51ST                         ST
12180,77th Street,600 W  52ND                         PL
26686,77th Street,600 W  52ND                         ST
24360,77th Street,600 W  53RD                         ST
29232,77th Street,600 W  54TH                         ST
24360,77th Street,600 W  55TH                         ST
37758,77th Street,600 W  56TH                         ST
31668,77th Street,600 W  57TH                         ST
26796,77th Street,600 W  58TH                         ST
32214,77th Street,600 W  59TH                         PL
26019,77th Street,600 W  59TH                         ST
38409,77th Street,600 W  60TH                         ST
75579,77th Street,600 W  61ST                         ST
57084,77th Street,600 W  62ND                         ST
14988,77th Street,600 W  63RD                         PL
1208,77th Street,600 W  64TH                         ST
12490,77th Street,600 W  65TH                         ST
3747,77th Street,600 W  66TH                         ST
13739,77th Street,600 W  68TH                         ST
3747,77th Street,600 W  69TH                         ST
11241,77th Street,600 W  70TH                         ST
59032,77th Street,600 W  73RD                         ST
36424,77th Street,600 W  74TH                         ST
42704,77th Street,600 W  75TH                         ST
22614,77th Street,600 W  76TH                         ST
101817,77th Street,600 W  77TH                         ST
30168,77th Street,600 W  78TH                         ST
65553,77th Street,600 W  79TH                         ST
124068,77th Street,600 W  80TH                         ST
127866,77th Street,600 W  81ST                         ST
100048,77th Street,600 W  82ND                         ST
29141,77th Street,600 W  83RD                         ST
57015,77th Street,600 W  84TH                         ST
40544,77th Street,600 W  85TH                         ST
80202,77th Street,600 W  FLORENCE                     AV
68695,77th Street,600 W  GAGE                         AV
7602,77th Street,600 W  MANCHESTER                   AV
8667,77th Street,600 W  SLAUSON                      AV
77312,77th Street,600 W  VERNON                       AV
28543,77th Street,6000    10TH                         AV
14892,77th Street,6000    11TH                         AV
11178,77th Street,6000    2ND                          AV
19872,77th Street,6000    3RD                          AV
12420,77th Street,6000    4TH                          AV
37260,77th Street,6000    5TH                          AV
16146,77th Street,6000    6TH                          AV
1242,77th Street,6000    6TH                          ST
13662,77th Street,6000    7TH                          AV
55850,77th Street,6000    8TH                          AV
7386,77th Street,6000    ALVISO                       AV
23598,77th Street,6000    ARLINGTON                    AV
1241,77th Street,6000    BRYANHURST                   AV
76942,77th Street,6000    BRYNHURST                    AV
3693,77th Street,6000    BUCKLER                      AV
6179,77th Street,6000    BUDLONG                      AV
3699,77th Street,6000    CIMARRON                     ST
60809,77th Street,6000    CRENSHAW                     BL
4924,77th Street,6000    EILEEN                       AV
7398,77th Street,6000    HAAS                         AV
3717,77th Street,6000    KANSAS                       AV
7386,77th Street,6000    KENISTON                     AV
2462,77th Street,6000    LONG                         ST
24840,77th Street,6000    MADDEN                       AV
3693,77th Street,6000    MECHAM                       WY
9912,77th Street,6000    MENLO                        AV
14820,77th Street,6000    RAYMOND                      AV
1231,77th Street,6000    VERDUN                       AV
14892,77th Street,6000    WEST                         BL
3701,77th Street,6000 S  DENKER                       AV
49560,77th Street,6000 S  FIGUEROA                     ST
4932,77th Street,6000 S  GRAMERCY                     PL
8645,77th Street,6000 S  HALLDALE                     AV
2462,77th Street,6000 S  HARCOURT                     AV
6165,77th Street,6000 S  HARVARD                      BL
14868,77th Street,6000 S  HOOVER                       ST
9864,77th Street,6000 S  MANHATTAN                    PL
20995,77th Street,6000 S  NORMANDIE                    AV
12310,77th Street,6000 S  RIMPAU                       BL
1233,77th Street,6000 S  SAINT ANDREWS                PL
3699,77th Street,6000 S  ST ANDREWS                   PL
4959,77th Street,6000 S  VAN NESS                     AV
60711,77th Street,6000 S  VERMONT                      AV
4964,77th Street,6000 S  VICTORIA                     AV
61650,77th Street,6000 S  WESTERN                      AV
19728,77th Street,6000 S  WILTON                       PL
1241,77th Street,6000 W  BOULEVARD
12357,77th Street,60TH
23477,77th Street,60TH                         PL
173181,77th Street,60TH                         ST
43435,77th Street,6100    10TH                         AV
39712,77th Street,6100    11TH                         AV
37235,77th Street,6100    8TH                          AV
3693,77th Street,6100    ALVISO                       AV
53363,77th Street,6100    BRYNHURST                    AV
8617,77th Street,6100    BUCKLER                      AV
6191,77th Street,6100    BUDLONG                      AV
7398,77th Street,6100    CIMARRON                     ST
70737,77th Street,6100    CRENSHAW                     BL
20927,77th Street,6100    EILEEN                       AV
9864,77th Street,6100    HAAS                         AV
9848,77th Street,6100    KENISTON                     AV
2462,77th Street,6100    LONG                         ST
14868,77th Street,6100    MENLO                        AV
3705,77th Street,6100    RAYMOND                      AV
1231,77th Street,6100    RIMPAU                       BL
28543,77th Street,6100    WEST                         BL
6175,77th Street,6100 S  DENKER                       AV
39648,77th Street,6100 S  FIGUEROA                     ST
11097,77th Street,6100 S  GRAMERCY                     PL
8617,77th Street,6100 S  HARCOURT                     AV
28359,77th Street,6100 S  HARVARD                      BL
51786,77th Street,6100 S  HOBART                       BL
28497,77th Street,6100 S  HOOVER                       ST
2466,77th Street,6100 S  MANHATTAN                    PL
22230,77th Street,6100 S  NORMANDIE                    AV
3693,77th Street,6100 S  RIMPAU                       BL
6167,77th Street,6100 S  SAINT ANDREWS                PL
22194,77th Street,6100 S  ST ANDREWS                   PL
1231,77th Street,6100 S  VERDUN                       AV
33453,77th Street,6100 S  VERMONT                      AV
55845,77th Street,6100 S  VICTORIA                     AV
7398,77th Street,6100 S  WESTERN                      AV
4932,77th Street,6100 S  WILTON                       PL
6195,77th Street,61ST
61988,77th Street,61ST                         ST
18615,77th Street,6200    10TH                         AV
24820,77th Street,6200    11TH                         AV
39744,77th Street,6200    3RD                          AV
8694,77th Street,6200    4TH                          AV
9936,77th Street,6200    5TH                          AV
2484,77th Street,6200    6TH                          AV
4968,77th Street,6200    7TH                          AV
12413,77th Street,6200    8TH                          AV
3693,77th Street,6200    ALVISO                       AV
8687,77th Street,6200    BRYNHURST                    AV
3693,77th Street,6200    BUCKLER                      AV
7470,77th Street,6200    BUDLONG                      AV
19888,77th Street,6200    CIMARRON                     ST
48399,77th Street,6200    CRENSHAW                     BL
6155,77th Street,6200    EILEEN                       AV
12430,77th Street,6200    HAAS                         AV
4924,77th Street,6200    KENISTON                     AV
1231,77th Street,6200    LA BREA                      AV
12310,77th Street,6200    LONG                         ST
7452,77th Street,6200    MADDEN                       AV
8736,77th Street,6200    MENLO                        AV
11079,77th Street,6200    OVERHILL                     DR
2490,77th Street,6200    RAYMOND                      AV
14892,77th Street,6200    WEST                         BL
2488,77th Street,6200 S  DENKER                       AV
159872,77th Street,6200 S  FIGUEROA                     ST
2498,77th Street,6200 S  FIGUOERA                     ST
6215,77th Street,6200 S  GRAMERCY                     PL
3735,77th Street,6200 S  HALLDALE                     AV
6155,77th Street,6200 S  HARCOURT                     AV
7458,77th Street,6200 S  HARVARD                      BL
32452,77th Street,6200 S  HOOVER                       ST
6155,77th Street,6200 S  LA BREA                      AV
3729,77th Street,6200 S  MANHATTAN                    PL
13695,77th Street,6200 S  NORMANDIE                    AV
16003,77th Street,6200 S  RIMPAU                       BL
1243,77th Street,6200 S  ST ANDREWS                   PL
37276,77th Street,6200 S  VAN NESS                     AV
6155,77th Street,6200 S  VERDUN                       AV
53619,77th Street,6200 S  VERMONT                      AV
29784,77th Street,6200 S  VICTORIA                     AV
19888,77th Street,6200 S  WESTERN                      AV
24860,77th Street,6200 S  WILTON                       PL
13685,77th Street,62ND
9978,77th Street,62ND                         PL
121523,77th Street,62ND                         ST
69496,77th Street,6300    10TH                         AV
26061,77th Street,6300    11TH                         AV
6210,77th Street,6300    2ND                          AV
7452,77th Street,6300    4TH                          AV
8694,77th Street,6300    5TH                          AV
11178,77th Street,6300    6TH                          AV
8694,77th Street,6300    7TH                          AV
58330,77th Street,6300    8TH                          AV
7386,77th Street,6300    ALVISO                       AV
7452,77th Street,6300    ARLINGTON                    AV
8743,77th Street,6300    BONSALLO                     AV
95557,77th Street,6300    BRYNHURST                    AV
4924,77th Street,6300    BUCKLER                      AV
13695,77th Street,6300    BUDLONG                      AV
130305,77th Street,6300    CRENSHAW                     BL
7494,77th Street,6300    DENVER                       AV
6155,77th Street,6300    EILEEN                       AV
13739,77th Street,6300    ESTRELLA                     AV
1231,77th Street,6300    FAIR                         PL
8617,77th Street,6300    KENISTON                     AV
8617,77th Street,6300    LONG                         ST
26082,77th Street,6300    MADDEN                       AV
2462,77th Street,6300    MECHAM                       WY
13541,77th Street,6300    OVERHILL                     DR
1245,77th Street,6300    RAYMOND                      AV
1231,77th Street,6300    RIMPAU                       BL
13651,77th Street,6300    WEST                         BL
2486,77th Street,6300 S  DENKER                       AV
78687,77th Street,6300 S  FIGUEROA                     ST
1249,77th Street,6300 S  FLOWER                       ST
4924,77th Street,6300 S  HARCOURT                     AV
13673,77th Street,6300 S  HARVARD                      BL
23720,77th Street,6300 S  HOOVER                       ST
23655,77th Street,6300 S  NORMANDIE                    AV
13541,77th Street,6300 S  RIMPAU                       BL
1242,77th Street,6300 S  VAN NESS                     AV
6155,77th Street,6300 S  VERDUN                       AV
8730,77th Street,6300 S  VERMONT                      AV
79424,77th Street,6300 S  VICTORIA                     AV
13673,77th Street,6300 S  WESTERN                      AV
1241,77th Street,6300 W  62ND                         ST
8703,77th Street,63RD
8712,77th Street,63RD                         PL
62034,77th Street,63RD                         ST
62050,77th Street,6400    10TH                         AV
33507,77th Street,6400    11TH                         AV
6210,77th Street,6400    2ND                          AV
7452,77th Street,6400    3RD                          AV
9936,77th Street,6400    7TH                          AV
44691,77th Street,6400    8TH                          AV
4968,77th Street,6400    ARLINGTON                    AV
7494,77th Street,6400    BONSALLO                     AV
39712,77th Street,6400    BRYNHURST                    AV
2490,77th Street,6400    BUDLONG                      AV
16159,77th Street,6400    CIMARRON                     ST
44676,77th Street,6400    CRENSHAW                     BL
8743,77th Street,6400    DENVER                       AV
11187,77th Street,6400    HAAS                         AV
9960,77th Street,6400    KANSAS                       AV
9936,77th Street,6400    MADDEN                       AV
1248,77th Street,6400    MENLO                        AV
16185,77th Street,6400    RAYMOND                      AV
95557,77th Street,6400    WEST                         BL
6223,77th Street,6400 S  DENKER                       AV
16237,77th Street,6400 S  FIGUEROA                     ST
1245,77th Street,6400 S  HALLDALE                     AV
42439,77th Street,6400 S  HOOVER                       ST
57270,77th Street,6400 S  NORMANDIE                    AV
2486,77th Street,6400 S  ST ANDREWS                   PL
19885,77th Street,6400 S  VAN NESS                     AV
42387,77th Street,6400 S  VERMONT                      AV
88111,77th Street,6400 S  VICTORIA                     AV
7458,77th Street,6400 S  WESTERN                      AV
14967,77th Street,64TH
84685,77th Street,64TH                         ST
28566,77th Street,6500    2ND                          AV
17388,77th Street,6500    3RD                          AV
22356,77th Street,6500    4TH                          AV
19872,77th Street,6500    5TH                          AV
2484,77th Street,6500    6TH                          AV
11175,77th Street,6500    8TH                          AV
19872,77th Street,6500    ARLINGTON                    AV
7494,77th Street,6500    BONSALLO                     AV
117895,77th Street,6500    BRYNHURST                    AV
12430,77th Street,6500    CIMARRON                     ST
117895,77th Street,6500    CRENSHAW                     BL
78687,77th Street,6500    DENVER                       AV
17486,77th Street,6500    ESTRELLA                     AV
13673,77th Street,6500    HAAS                         AV
2486,77th Street,6500    HOLMES                       AV
24900,77th Street,6500    KANSAS                       AV
3744,77th Street,6500    MENLO                        AV
2490,77th Street,6500    RAYMOND                      AV
148920,77th Street,6500    WEST                         BL
1245,77th Street,6500 S  BUDLONG                      AV
3733,77th Street,6500 S  DENKER                       AV
22482,77th Street,6500 S  FIGUEROA                     ST
3735,77th Street,6500 S  HALLDALE                     AV
3729,77th Street,6500 S  HARVARD                      BL
28720,77th Street,6500 S  HOOVER                       ST
78435,77th Street,6500 S  NORMANDIE                    AV
9944,77th Street,6500 S  ST ANDREWS                   PL
32306,77th Street,6500 S  VAN NESS                     AV
79728,77th Street,6500 S  VERMONT                      AV
122859,77th Street,6500 S  VICTORIA                     AV
67122,77th Street,6500 S  WESTERN                      AV
16206,77th Street,65TH
31138,77th Street,65TH                         PL
140914,77th Street,65TH                         ST
22338,77th Street,6600    11TH                         AV
14904,77th Street,6600    2ND                          AV
4968,77th Street,6600    3RD                          AV
8694,77th Street,6600    4TH                          AV
13662,77th Street,6600    5TH                          AV
8694,77th Street,6600    6TH                          AV
23598,77th Street,6600    7TH                          AV
11170,77th Street,6600    8TH                          AV
6210,77th Street,6600    ARLINGTON                    AV
16237,77th Street,6600    BONSALLO                     AV
12410,77th Street,6600    BRYNHURST                    AV
8715,77th Street,6600    BUDLONG                      AV
3729,77th Street,6600    CIMARRON                     ST
75701,77th Street,6600    CRENSHAW                     BL
74940,77th Street,6600    DENVER                       AV
33723,77th Street,6600    ESTRELLA                     AV
3729,77th Street,6600    HAAS                         AV
1245,77th Street,6600    KANSAS                       AV
2484,77th Street,6600    MADDEN                       AV
23712,77th Street,6600    MENLO                        AV
4980,77th Street,6600    RAYMOND                      AV
1241,77th Street,6600    WEST                         BL
2490,77th Street,6600 S  BUDLONG                      AV
1245,77th Street,6600 S  DENKER                       AV
22482,77th Street,6600 S  FIGUEROA                     ST
26220,77th Street,6600 S  HOOVER                       ST
14940,77th Street,6600 S  NORMANDIE                    AV
1243,77th Street,6600 S  ST ANDREWS                   PL
11183,77th Street,6600 S  VAN NESS                     AV
11229,77th Street,6600 S  VERMONT                      AV
29784,77th Street,6600 S  VICTORIA                     AV
9944,77th Street,6600 S  WESTERN                      AV
16206,77th Street,66TH
104761,77th Street,66TH                         ST
11259,77th Street,6700    10TH                         AV
67554,77th Street,6700    11TH                         AV
18780,77th Street,6700    2ND                          AV
1252,77th Street,6700    2ND                          ST
22536,77th Street,6700    3RD                          AV
20032,77th Street,6700    4TH                          AV
10016,77th Street,6700    5TH                          AV
31300,77th Street,6700    6TH                          AV
20032,77th Street,6700    7TH                          AV
1251,77th Street,6700    8TH                          AV
10016,77th Street,6700    ARLINGTON                    AV
2498,77th Street,6700    BONSALLO                     AV
48789,77th Street,6700    BRYNHURST                    AV
1243,77th Street,6700    CIMARRON                     ST
13761,77th Street,6700    CRENSHAW                     BL
3729,77th Street,6700    HAAS                         AV
38781,77th Street,6700    WEST                         BL
11241,77th Street,6700 S  FIGUEROA                     ST
11205,77th Street,6700 S  NORMANDIE                    AV
17492,77th Street,6700 S  VAN NESS                     AV
6231,77th Street,6700 S  VERMONT                      AV
3753,77th Street,6700 S  VICTORIA                     AV
14966,77th Street,67TH
1245,77th Street,67TH                         AV
103461,77th Street,67TH                         ST
50040,77th Street,6800    10TH                         AV
91323,77th Street,6800    11TH                         AV
6255,77th Street,6800    8TH                          AV
16237,77th Street,6800    BONSALLO                     AV
16263,77th Street,6800    BRYNHURST                    AV
2486,77th Street,6800    CIMARRON                     ST
36279,77th Street,6800    CRENSHAW                     BL
22482,77th Street,6800    DENVER                       AV
6245,77th Street,6800    ESTRELLA                     AV
16159,77th Street,6800    HAAS                         AV
1245,77th Street,6800    KANSAS                       AV
1248,77th Street,6800    MENLO                        AV
1251,77th Street,6800    VICTORIA                     AV
7506,77th Street,6800    WEST                         BL
2490,77th Street,6800 S  DENKER                       AV
9992,77th Street,6800 S  FIGUEROA                     ST
32473,77th Street,6800 S  HOOVER                       ST
2490,77th Street,6800 S  NORMANDIE                    AV
12511,77th Street,6800 S  VAN NESS                     AV
10008,77th Street,6800 S  VICTORIA                     AV
17402,77th Street,6800 S  WESTERN                      AV
7494,77th Street,68TH
1245,77th Street,68TH                         PL
139744,77th Street,68TH                         ST
6255,77th Street,6900    10TH                         AV
1251,77th Street,6900    8TH                          AV
47462,77th Street,6900    BONSALLO                     AV
14916,77th Street,6900    CIMARRON                     ST
8743,77th Street,6900    DENVER                       AV
13739,77th Street,6900    ESTRELLA                     AV
3729,77th Street,6900    HAAS                         AV
2496,77th Street,6900    MENLO                        AV
67446,77th Street,6900 S  FIGUEROA                     ST
1243,77th Street,6900 S  GRAMERCY                     PL
1245,77th Street,6900 S  HALLDALE                     AV
4972,77th Street,6900 S  HARVARD                      BL
43714,77th Street,6900 S  HOOVER                       ST
11241,77th Street,6900 S  VAN NESS                     AV
13722,77th Street,6900 S  VERMONT                      AV
31075,77th Street,6900 S  WESTERN                      AV
12479,77th Street,69TH
140965,77th Street,69TH                         ST
12264,77th Street,6TH                          AV
46583,77th Street,700 E  73RD                         ST
26439,77th Street,700 E  74TH                         ST
35252,77th Street,700 E  75TH                         ST
52878,77th Street,700 E  76TH                         PL
45324,77th Street,700 E  76TH                         ST
20144,77th Street,700 E  77TH                         ST
41547,77th Street,700 E  78TH                         ST
80936,77th Street,700 E  79TH                         ST
98982,77th Street,700 E  80TH                         ST
52029,77th Street,700 E  81ST                         ST
26649,77th Street,700 E  82ND                         ST
25380,77th Street,700 E  83RD                         ST
43146,77th Street,700 E  84TH                         PL
48222,77th Street,700 E  84TH                         ST
65988,77th Street,700 E  85TH                         ST
1259,77th Street,700 E  FLORENCE
32734,77th Street,700 E  FLORENCE                     AV
44415,77th Street,700 E  MANCHESTER                   AV
1259,77th Street,700 S  SAN PEDRO                    ST
1251,77th Street,700 S  VICTORIA                     AV
20536,77th Street,700 W  45TH                         ST
24160,77th Street,700 W  46TH                         ST
55568,77th Street,700 W  47TH                         ST
21744,77th Street,700 W  48TH                         ST
15704,77th Street,700 W  49TH                         PL
13288,77th Street,700 W  49TH                         ST
12080,77th Street,700 W  50TH                         ST
28992,77th Street,700 W  51ST                         ST
24360,77th Street,700 W  52ND                         PL
15754,77th Street,700 W  52ND                         ST
20706,77th Street,700 W  53RD                         ST
32886,77th Street,700 W  54TH                         ST
25578,77th Street,700 W  55TH                         ST
60900,77th Street,700 W  56TH                         ST
26796,77th Street,700 W  57TH                         ST
3654,77th Street,700 W  58TH                         ST
6195,77th Street,700 W  59TH                         PL
3717,77th Street,700 W  59TH                         ST
24780,77th Street,700 W  60TH                         ST
13629,77th Street,700 W  61ST                         ST
6205,77th Street,700 W  62ND                         ST
4996,77th Street,700 W  65TH                         ST
19984,77th Street,700 W  66TH                         ST
3747,77th Street,700 W  68TH                         ST
4996,77th Street,700 W  70TH                         ST
40192,77th Street,700 W  73RD                         ST
40192,77th Street,700 W  74TH                         ST
37680,77th Street,700 W  75TH                         ST
60309,77th Street,700 W  76TH                         ST
50280,77th Street,700 W  77TH                         ST
62850,77th Street,700 W  78TH                         ST
55425,77th Street,700 W  79TH                         ST
51906,77th Street,700 W  80TH                         ST
108876,77th Street,700 W  81ST                         ST
108900,77th Street,700 W  82ND                         ST
21539,77th Street,700 W  83RD                         ST
17738,77th Street,700 W  84TH                         ST
22806,77th Street,700 W  85TH                         ST
37610,77th Street,700 W  FLORENCE                     AV
33723,77th Street,700 W  GAGE                         AV
20272,77th Street,700 W  MANCHESTER                   AV
14868,77th Street,700 W  SLAUSON                      AV
45904,77th Street,700 W  VERNON                       AV
13772,77th Street,7000    2ND                          AV
18780,77th Street,7000    3RD                          AV
13772,77th Street,7000    4TH                          AV
11268,77th Street,7000    5TH                          AV
21284,77th Street,7000    6TH                          AV
10016,77th Street,7000    7TH                          AV
11264,77th Street,7000    8TH                          AV
10016,77th Street,7000    ARLINGTON                    AV
37470,77th Street,7000    BONSALLO                     AV
12430,77th Street,7000    CIMARRON                     ST
39968,77th Street,7000    DENVER                       AV
27478,77th Street,7000    ESTRELLA                     AV
17402,77th Street,7000    HAAS                         AV
21284,77th Street,7000    MADDEN                       AV
6240,77th Street,7000    MENLO                        AV
1233,77th Street,7000    SAINT ANDREWS                PL
4976,77th Street,7000 S  DENKER                       AV
17486,77th Street,7000 S  FIGUEROA                     ST
59952,77th Street,7000 S  HOOVER                       ST
3729,77th Street,7000 S  SAINT ANDREWS                PL
49720,77th Street,7000 S  ST ANDREWS                   PL
12484,77th Street,7000 S  VAN NESS                     AV
7479,77th Street,7000 S  VERMONT                      AV
11187,77th Street,7000 S  WESTERN                      AV
14966,77th Street,70TH
1243,77th Street,70TH                         PL
195933,77th Street,70TH                         ST
30024,77th Street,7100    10TH                         AV
20016,77th Street,7100    11TH                         AV
12519,77th Street,7100    8TH                          AV
1252,77th Street,7100    ARLINGTON                    AV
14988,77th Street,7100    BONSALLO                     AV
18765,77th Street,7100    BRYNHURST                    AV
8701,77th Street,7100    CIMARRON                     ST
58797,77th Street,7100    CRENSHAW                     BL
4996,77th Street,7100    ESTRELLA                     AV
4972,77th Street,7100    HAAS                         AV
2490,77th Street,7100    KANSAS                       AV
12480,77th Street,7100    MENLO                        AV
2490,77th Street,7100    RAYMOND                      AV
1251,77th Street,7100    VICTORIA                     AV
4996,77th Street,7100    WEST                         BL
4980,77th Street,7100 S  DENKER                       AV
16237,77th Street,7100 S  FIGUEROA                     ST
13673,77th Street,7100 S  HARVARD                      BL
41195,77th Street,7100 S  HOOVER                       ST
2490,77th Street,7100 S  NORMANDIE                    AV
11196,77th Street,7100 S  VAN NESS                     AV
127035,77th Street,7100 S  VERMONT                      AV
15012,77th Street,7100 S  VICTORIA                     AV
3729,77th Street,7100 S  WESTERN                      AV
12479,77th Street,71ST
117329,77th Street,71ST                         ST
15012,77th Street,7200    10TH                         AV
1252,77th Street,7200    5TH                          AV
7506,77th Street,7200    9TH                          AV
21403,77th Street,7200    AVALON                       BL
7530,77th Street,7200    BRIGHTON                     AV
22518,77th Street,7200    BRYNHURST                    AV
2510,77th Street,7200    BUDLONG                      AV
18765,77th Street,7200    CRENSHAW                     BL
18825,77th Street,7200    DALTON                       AV
1255,77th Street,7200    HALLDALE                     AV
2506,77th Street,7200    LA SALLE                     AV
1259,77th Street,7200    MCKINLEY                     AV
3765,77th Street,7200    RAYMOND                      AV
3777,77th Street,7200    STANFORD                     AV
3777,77th Street,7200    WADSWORTH                    AV
52794,77th Street,7200 S  BROADWAY
2518,77th Street,7200 S  CENTRAL                      AV
2506,77th Street,7200 S  DENKER                       AV
91688,77th Street,7200 S  FIGUEROA                     ST
6265,77th Street,7200 S  GRAMERCY                     PL
3765,77th Street,7200 S  HALLDALE                     AV
7518,77th Street,7200 S  HARVARD                      BL
12530,77th Street,7200 S  HOBART                       BL
12560,77th Street,7200 S  HOOVER                       ST
6290,77th Street,7200 S  MAIN                         ST
15060,77th Street,7200 S  NORMANDIE                    AV
28934,77th Street,7200 S  SAN PEDRO                    ST
82885,77th Street,7200 S  VERMONT                      AV
5004,77th Street,7200 S  VICTORIA                     AV
41349,77th Street,7200 S  WESTERN                      AV
1258,77th Street,72ND                         ST
7506,77th Street,7300    10TH                         AV
2504,77th Street,7300    5TH                          AV
7506,77th Street,7300    9TH                          AV
12590,77th Street,7300    AVALON                       BL
3765,77th Street,7300    BRIGHTON                     AV
21267,77th Street,7300    CRENSHAW                     BL
7530,77th Street,7300    DALTON                       AV
1253,77th Street,7300    DENKER                       AV
1255,77th Street,7300    HALLDALE                     AV
2506,77th Street,7300    LA SALLE                     AV
6295,77th Street,7300    MCKINLEY                     AV
5020,77th Street,7300    RAYMOND                      AV
11331,77th Street,7300    STANFORD                     AV
